asset_id,link_id,physical_path,sha256,bytes,source_path,source_unit_id,assignment_path,assignment_stage,assignment_basis,reference_status,inspection_status,review_epoch,visual_role,source_status,risk_flags,original_resolution_status,transcription_status,candidate_ids,route_ids,evidence_statement,review_stage,reviewer,uncertainty
A000001,L001125,BACK-MATTER/NOTES/_page_1001_Picture_2.jpeg,b9c12b0eb44ab9db38a463a7b33d47a859e5b27e643f8950149bffd38587dafa,347208,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,U006815,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,11,LIVE_MARKDOWN_REFERENCE,REFERENCED,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000002,L001126,BACK-MATTER/NOTES/_page_1001_Picture_4.jpeg,1d4890d9c8bc88b84ecd77d92072aef0d82c33d24c662ffa982c4ccfb9c5f269,8656,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,U006817,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,11,LIVE_MARKDOWN_REFERENCE,REFERENCED,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000003,L001127,BACK-MATTER/NOTES/_page_1001_Picture_6.jpeg,a977a6704e66ccb6c744cde86fd2931b420f897f767485e8d551c3d80b2e9c96,25537,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,U006819,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,11,LIVE_MARKDOWN_REFERENCE,REFERENCED,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000004,L001128,BACK-MATTER/NOTES/_page_1001_Picture_9.jpeg,d5a2a2a57710da2db7f43663d557d56720752b056c6e8e71500e3babc7c9a8dd,14831,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,U006821,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,11,LIVE_MARKDOWN_REFERENCE,REFERENCED,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000005,L001129,BACK-MATTER/NOTES/_page_1002_Figure_4.jpeg,bc0eb1da6c34a828981031939e0ac0e1b7a3136581655c5a27771ddc32d19193,48777,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,U006829,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,11,LIVE_MARKDOWN_REFERENCE,REFERENCED,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000006,L001131,BACK-MATTER/NOTES/_page_1002_Picture_14.jpeg,c06ceb9699771663ab0e993ea17a5c3bf471bfca0328da88b83780dc61d619b0,16254,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,U006839,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,11,LIVE_MARKDOWN_REFERENCE,REFERENCED,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000007,L001132,BACK-MATTER/NOTES/_page_1002_Picture_16.jpeg,7d4d45673721c3aa6301595859e114fc45847fe37463c524c0481b6e32085b80,106590,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,U006841,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,11,LIVE_MARKDOWN_REFERENCE,REFERENCED,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000008,L001130,BACK-MATTER/NOTES/_page_1002_Picture_9.jpeg,c37ae725a859e1a65f65ba219c5575a00be003e2f77ea298bb87abeb1386df40,323752,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,U006833,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,11,LIVE_MARKDOWN_REFERENCE,REFERENCED,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000009,L001135,BACK-MATTER/NOTES/_page_1004_Picture_15.jpeg,9b0c5c4d2b4f3412c04f87bc5f264c45331762fab9368b4b4ada457de3d6cb02,8949,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,U006857,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,11,LIVE_MARKDOWN_REFERENCE,REFERENCED,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000010,L001136,BACK-MATTER/NOTES/_page_1004_Picture_17.jpeg,51199315e7d92f6c7ce66477b36695c7653dc2ce3dcad5791afa4d8f117d32fa,86292,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,U006859,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,11,LIVE_MARKDOWN_REFERENCE,REFERENCED,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000011,L001133,BACK-MATTER/NOTES/_page_1004_Picture_4.jpeg,653ed9f2d1ab6e15ad2c3dbeb73e27597ff2dab7d91485dc8df906c4f602461e,11673,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,U006848,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,11,LIVE_MARKDOWN_REFERENCE,REFERENCED,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000012,L001134,BACK-MATTER/NOTES/_page_1004_Picture_9.jpeg,1443703ec4674b3160480ac075e65487cd52c756cd5ea8a5893432dc4604b462,8430,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,U006853,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,11,LIVE_MARKDOWN_REFERENCE,REFERENCED,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000013,L001138,BACK-MATTER/NOTES/_page_1005_Figure_5.jpeg,9464685cece7be56daf455087bb8446a5aa4c3c5c48523650acb7be3ccaeeba6,5098,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,U006862,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,11,LIVE_MARKDOWN_REFERENCE,REFERENCED,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000014,L001139,BACK-MATTER/NOTES/_page_1005_Picture_10.jpeg,9a6757a47b656b953ae5fe3a9ed767e933bf0f9ffa48c3c940b3dc7c4f8d5364,15384,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,U006866,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,11,LIVE_MARKDOWN_REFERENCE,REFERENCED,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000015,,BACK-MATTER/NOTES/_page_1005_Picture_2.jpeg,0a374ca0169126449e2c6f499fb62e75e9246379acd325d6fa481e7c6ab13515,1738,,,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,11,UNIQUE_DIRECTORY_PAGE_RANGE,UNREFERENCED_PHYSICAL,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000016,,BACK-MATTER/NOTES/_page_1005_Picture_3.jpeg,3442b19d6c22cfe19e322aeacd0c488dd504eca2d4f2b2a99fa842c9ff8090dd,2110,,,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,11,UNIQUE_DIRECTORY_PAGE_RANGE,UNREFERENCED_PHYSICAL,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000017,,BACK-MATTER/NOTES/_page_1005_Picture_4.jpeg,60cbbf3af605316c9b4295e620f61ef583bb41c2312e479c206249f2e23f0f72,2696,,,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,11,UNIQUE_DIRECTORY_PAGE_RANGE,UNREFERENCED_PHYSICAL,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000018,L001137,BACK-MATTER/NOTES/_page_1005_Sandpile_Fixed_Configurations_Four_Cycle_Row.jpeg,6506e92b9896c279406ae8da32812a04fb466ae29bd3dea38c9643e165f842c9,59130,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,U006861,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes.md,11,LIVE_MARKDOWN_REFERENCE,REFERENCED,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000019,L001140,BACK-MATTER/NOTES/_page_1008_Hopper_Crystals_Four_Panel_Row.jpeg,45e8795fdf982f5f7fba67661d1d44aad9a9a0c38ac24da9cf9ab6c09e2a3213,313190,BACK-MATTER/NOTES/08-Implications-for-Everyday-Systems-Notes.md,U006883,BACK-MATTER/NOTES/08-Implications-for-Everyday-Systems-Notes.md,12,LIVE_MARKDOWN_REFERENCE,REFERENCED,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000020,,BACK-MATTER/NOTES/_page_1008_Picture_10.jpeg,b23a5236ee19a8392e37650e0d9f9ae4542c8ebdc00f4ec30c0e586fbcde2fd2,6715,,,BACK-MATTER/NOTES/08-Implications-for-Everyday-Systems-Notes.md,12,UNIQUE_DIRECTORY_PAGE_RANGE,UNREFERENCED_PHYSICAL,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000021,,BACK-MATTER/NOTES/_page_1008_Picture_11.jpeg,ca75baac9fce95995e0b11fc9026665f5cda9fa7606f11ee9357c96d57908eca,6222,,,BACK-MATTER/NOTES/08-Implications-for-Everyday-Systems-Notes.md,12,UNIQUE_DIRECTORY_PAGE_RANGE,UNREFERENCED_PHYSICAL,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000022,,BACK-MATTER/NOTES/_page_1008_Picture_8.jpeg,be72989ee7319d34bf6922e5946e898f8f36a91f8e220eabd1f1e51b3fa1af51,5114,,,BACK-MATTER/NOTES/08-Implications-for-Everyday-Systems-Notes.md,12,UNIQUE_DIRECTORY_PAGE_RANGE,UNREFERENCED_PHYSICAL,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000023,,BACK-MATTER/NOTES/_page_1008_Picture_9.jpeg,090c5b586488915b49be0667f94bd0b087c24b4bdcb854df3fa4d462407c17af,4067,,,BACK-MATTER/NOTES/08-Implications-for-Everyday-Systems-Notes.md,12,UNIQUE_DIRECTORY_PAGE_RANGE,UNREFERENCED_PHYSICAL,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000024,L001141,BACK-MATTER/NOTES/_page_1009_Boiling_Heating_Rates_Two_Panel_Row.jpeg,2f88db99fccef22422781eebae9e68cb449cf91cf518130374012450d3a08589,183484,BACK-MATTER/NOTES/08-Implications-for-Everyday-Systems-Notes.md,U006886,BACK-MATTER/NOTES/08-Implications-for-Everyday-Systems-Notes.md,12,LIVE_MARKDOWN_REFERENCE,REFERENCED,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000025,,BACK-MATTER/NOTES/_page_1009_Picture_6.jpeg,2e0309aed825ace57ba916bb3d2332d707af7e0d1105bd67637151854a76d7d5,8459,,,BACK-MATTER/NOTES/08-Implications-for-Everyday-Systems-Notes.md,12,UNIQUE_DIRECTORY_PAGE_RANGE,UNREFERENCED_PHYSICAL,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000026,,BACK-MATTER/NOTES/_page_1009_Picture_7.jpeg,733e4bfc8212ee9c7cce554e156fb3f62def9dd474277004a5f79711050d0047,10078,,,BACK-MATTER/NOTES/08-Implications-for-Everyday-Systems-Notes.md,12,UNIQUE_DIRECTORY_PAGE_RANGE,UNREFERENCED_PHYSICAL,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
A000027,,BACK-MATTER/NOTES/_page_1015_Picture_11.jpeg,570a2dcb441a812a3c21563dac859ea5c16ed0341a354ac9bd5f041d36e78def,14035,,,BACK-MATTER/NOTES/08-Implications-for-Everyday-Systems-Notes.md,12,UNIQUE_DIRECTORY_PAGE_RANGE,UNREFERENCED_PHYSICAL,PENDING,,,,[],NOT_REVIEWED,NOT_APPLICABLE,[],[],,,,
