source_unit_id,document_order,path,block_kind,byte_start,byte_end,line_start,line_end,global_line_start,global_line_end,unit_sha256,review_status,review_epoch,review_disposition,source_status,uncertainty,secondary_roles,candidate_ids,route_ids,evidence_statement,review_stage,reviewer
U000001,1,FRONT-MATTER/00-Publication-and-Contents.md,heading,0,41,1,2,1,2,ceb0279ac7b0872ec492f4fa30ee2a381dbf73dcd20f9f44842d39a1d502d309,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000002,1,FRONT-MATTER/00-Publication-and-Contents.md,heading,41,82,3,4,3,4,ceb0279ac7b0872ec492f4fa30ee2a381dbf73dcd20f9f44842d39a1d502d309,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000003,1,FRONT-MATTER/00-Publication-and-Contents.md,paragraph,82,216,5,6,5,6,f69050e70c8509f3d3b741b5d9485ba226c3088611224659668ac872eb7d6526,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000004,1,FRONT-MATTER/00-Publication-and-Contents.md,paragraph,216,334,7,8,7,8,2592bfac9e861346298ec09678c398b895de6cc302aa93ae7d3e1c922819e1ef,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000005,1,FRONT-MATTER/00-Publication-and-Contents.md,paragraph,334,392,9,10,9,10,12f10ac68476e8ad6e6bf75128e57d01e2836e0e6738156abb0ba5005f56858a,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000006,1,FRONT-MATTER/00-Publication-and-Contents.md,paragraph,392,436,11,12,11,12,50a499946987a1fca78ee97ba449dd2c1ce7d504c8c3f522ad48984b028ede7a,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000007,1,FRONT-MATTER/00-Publication-and-Contents.md,heading,436,473,13,14,13,14,a9a88b23e74e97f80ccf697d417ee90bfa7f6ee3f337f7feaecd13da46bf0670,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000008,1,FRONT-MATTER/00-Publication-and-Contents.md,paragraph,473,752,15,22,15,22,88fcdc4bffb856d7f83882f963b2879da927719cf847f9ae32e44c33ce9d798f,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000009,1,FRONT-MATTER/00-Publication-and-Contents.md,heading,752,792,23,24,23,24,d515e291d229e620d14510a014956095381398352e16f79bbbd9449e4d0fdc42,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000010,1,FRONT-MATTER/00-Publication-and-Contents.md,heading,792,849,25,26,25,26,94da08b09751f46b769e4e662effb46612381a1e96466b67b34a4f2189667fbc,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000011,1,FRONT-MATTER/00-Publication-and-Contents.md,paragraph,849,952,27,31,27,31,df5a47abdb41ab1203fa0d18550e8499a21f176580c472bbc1b3bd5579ac85f1,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000012,1,FRONT-MATTER/00-Publication-and-Contents.md,paragraph,952,985,32,33,32,33,726d55078ad58c65f92275fcecead8a65f13d5004dfd7b537c3c9bb1c1703afc,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000013,1,FRONT-MATTER/00-Publication-and-Contents.md,list,985,1047,34,35,34,35,77b0b58b4dd05560cfb96bea351d427bb594c7150932f8c3d4f60f27836c73e2,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000014,1,FRONT-MATTER/00-Publication-and-Contents.md,paragraph,1047,1069,36,37,36,37,a6fa1d4f0ec8de51c24ec92ba5caab39d277b54982286fe7754517aa639fb816,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000015,1,FRONT-MATTER/00-Publication-and-Contents.md,paragraph,1069,1081,38,39,38,39,b9f3addaa945b8ce918e3f3cea11d059c269162a09fc1a8ee3c51ed1e4dfdb0c,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000016,1,FRONT-MATTER/00-Publication-and-Contents.md,paragraph,1081,1093,40,41,40,41,cbe01c8ff719d3c4624638b31e0a905ac775f6f5d95cc2aee8d8ffb30bee3835,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000017,1,FRONT-MATTER/00-Publication-and-Contents.md,paragraph,1093,1098,42,43,42,43,fe74198e062b95d7d4b074387e64edb767203315a5acd8c26cc7eec4bdf9a7ad,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000018,1,FRONT-MATTER/00-Publication-and-Contents.md,paragraph,1098,1239,44,46,44,46,ea08c13a3b52b4a50b2e3da604b124569e71e123d6e6a1e01b16e27ec6cb8ada,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000019,1,FRONT-MATTER/00-Publication-and-Contents.md,heading,1239,1287,47,48,47,48,a1d1d128c4d3f8a550807ee5168fc963dbdfc99d23002bcc2a1f2479c8eff921,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000020,1,FRONT-MATTER/00-Publication-and-Contents.md,paragraph,1287,1677,49,50,49,50,5b387b946dc26edc4acaf6e1ebbc2c12ae23a44ee913a398f9fa37786857ddac,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000021,1,FRONT-MATTER/00-Publication-and-Contents.md,paragraph,1677,1977,51,52,51,52,ddad4b73d8b2ab2a723725e2d312dfc694a83ce3957ee37d198ed272d6bf0a78,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000022,1,FRONT-MATTER/00-Publication-and-Contents.md,paragraph,1977,2418,53,54,53,54,b00e525871c3a8118363170ecaab4b6128d3b869a8c3b889d8b3fb22117b67b8,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000023,1,FRONT-MATTER/00-Publication-and-Contents.md,paragraph,2418,2687,55,56,55,56,eaad83005f7a44de4251b4a20d521abb8f15dc3d50e6a63af38b35cef10f998e,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
U000024,1,FRONT-MATTER/00-Publication-and-Contents.md,paragraph,2687,3833,57,58,57,58,316c7c7185d08c7e8ef207bb2bf2d65798aac0ddcc1daa57dc760c35904f04c7,REVIEWED,1,REPRESENTATION_OR_OBSERVER,CLEAR,,"[""REPRESENTATION"",""IMPLEMENTATION_DETAIL""]",[],[],"The copyright discussion treats illustrations, rule choices, and initial conditions as presentation/licensing subjects, not as a construction specification.",4,bookends-reader-e1
U000025,1,FRONT-MATTER/00-Publication-and-Contents.md,paragraph,3833,4695,59,60,59,60,49cf14f28c51b0b2e5f84d8421cb42476a23014946efc78107b58e703c01ce52,REVIEWED,1,REPRESENTATION_OR_OBSERVER,CLEAR,,"[""REPRESENTATION"",""IMPLEMENTATION_DETAIL""]",[],[],The unit describes licensing and execution of source-code representations; it specifies no Book construction.,4,bookends-reader-e1
U000026,1,FRONT-MATTER/00-Publication-and-Contents.md,paragraph,4695,4991,61,62,61,62,cd0b9ea20eb70e897a70763521427902ad4f696a96df82478341d822db1225a5,REVIEWED,1,NO_CONSTRUCTION,CLEAR,,[],[],[],"Reviewed in full; this publication/contents unit is bibliographic, legal, or navigational and supplies no anchored construction mechanics.",4,bookends-reader-e1
