lead_id,canonical_anchors,status,decision,reason,candidate_id,catalog_action,family_id
L0001,BACK-MATTER/NOTES/00-General-Notes.md:L17-18[U004864];BACK-MATTER/NOTES/00-General-Notes.md:L35-36[U004873],WEAK,narrative-whimsy,Whimsical descriptions do not define mechanics,,not-serious-candidate,not-applicable
L0002,BACK-MATTER/NOTES/00-General-Notes.md:L31-32[U004871];BACK-MATTER/NOTES/00-General-Notes.md:L33-34[U004872],WEAK,cover-art-example,Cover image is a rendered CA example,,not-serious-candidate,not-applicable
L0003,CHAPTERS/01-The-Foundations-for-a-New-Kind-of-Science.md:L159-160[U000149];CHAPTERS/01-The-Foundations-for-a-New-Kind-of-Science.md:L161-162[U000150];CHAPTERS/01-The-Foundations-for-a-New-Kind-of-Science.md:L163-164[U000151];CHAPTERS/01-The-Foundations-for-a-New-Kind-of-Science.md:L167-168[U000153];BACK-MATTER/NOTES/01-The-Foundations-for-a-New-Kind-of-Science-Notes.md:L59-60[U004953],WEAK,historical-experiment,Historical account of exploring program behavior,,not-serious-candidate,not-applicable
L0004,BACK-MATTER/NOTES/01-The-Foundations-for-a-New-Kind-of-Science-Notes.md:L55-56[U004951],WEAK,ideal-gas-illustration,Cover illustration lacks collision mechanics,,not-serious-candidate,not-applicable
L0005,BACK-MATTER/NOTES/01-The-Foundations-for-a-New-Kind-of-Science-Notes.md:L57-58[U004952],WEAK,historical-program,Historical implementation anecdote,,not-serious-candidate,not-applicable
L0006,CHAPTERS/02-The-Crucial-Experiment.md:L11-12[U000179];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L837-838[U005279];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L851-852[U005286];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L855-856[U005288];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L857-858[U005289],WEAK,computer-experiment,General experimental method rather than a system,,not-serious-candidate,not-applicable
L0007,CHAPTERS/02-The-Crucial-Experiment.md:L13-14[U000180];CHAPTERS/02-The-Crucial-Experiment.md:L19-20[U000183];CHAPTERS/02-The-Crucial-Experiment.md:L21-22[U000184];CHAPTERS/02-The-Crucial-Experiment.md:L23-24[U000185];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L12-13[U004966];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L14-17[U004967];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L18-19[U004968];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L20-24[U004969];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L25-26[U004970];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L27-31[U004971];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L112-113[U004988];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L114-115[U004989];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L418-419[U005084];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L420-423[U005085];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L436-437[U005090];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L438-441[U005091],WEAK,rule-based-programs,General statement that programs have rules,,not-serious-candidate,not-applicable
L0008,CHAPTERS/02-The-Crucial-Experiment.md:L19-20[U000183];CHAPTERS/02-The-Crucial-Experiment.md:L25-26[U000186];CHAPTERS/02-The-Crucial-Experiment.md:L27-28[U000187];CHAPTERS/02-The-Crucial-Experiment.md:L29-30[U000188];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L452-453[U005096];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L462-463[U005101],RESOLVED,ca-spacetime-renderer,Rows render successive states of an ordinary CA,,not-serious-candidate,not-applicable
L0009,CHAPTERS/02-The-Crucial-Experiment.md:L33-34[U000190];CHAPTERS/02-The-Crucial-Experiment.md:L37-38[U000192];CHAPTERS/02-The-Crucial-Experiment.md:L39-40[U000193];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L454-455[U005097];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L464-465[U005102],RESOLVED,elementary-ca-preset,Specific elementary CA rule example,,not-serious-candidate,not-applicable
L0010,CHAPTERS/02-The-Crucial-Experiment.md:L43-44[U000195];CHAPTERS/02-The-Crucial-Experiment.md:L47-48[U000197];CHAPTERS/02-The-Crucial-Experiment.md:L49-50[U000198];CHAPTERS/02-The-Crucial-Experiment.md:L55-56[U000201];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L154-157[U005004];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L424-425[U005086];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L426-429[U005087];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L446-449[U005094];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L466-467[U005103];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L507-508[U005119],RESOLVED,elementary-ca-preset,Specific elementary CA rule example,,not-serious-candidate,not-applicable
L0011,CHAPTERS/02-The-Crucial-Experiment.md:L61-62[U000204];CHAPTERS/02-The-Crucial-Experiment.md:L65-66[U000206];CHAPTERS/02-The-Crucial-Experiment.md:L67-68[U000207];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L134-138[U004998];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L283-284[U005038];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L285-290[U005039];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L456-457[U005098];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L468-469[U005104];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L861-862[U005291],RESOLVED,elementary-ca-preset,Rule 30 is a preset of elementary CA mechanics,,not-serious-candidate,not-applicable
L0012,CHAPTERS/02-The-Crucial-Experiment.md:L91-92[U000219];CHAPTERS/02-The-Crucial-Experiment.md:L109-110[U000228];CHAPTERS/02-The-Crucial-Experiment.md:L111-112[U000229];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L458-459[U005099];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L470-471[U005105];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L577-578[U005149],WEAK,ca-complexity-property,Unpredictable averages are behavioral properties,,not-serious-candidate,not-applicable
L0013,CHAPTERS/02-The-Crucial-Experiment.md:L255-256[U000301];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L745-746[U005233],RESOLVED,life-ca-preset,Game of Life is a two-dimensional CA preset,,not-serious-candidate,not-applicable
L0014,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L5-6[U004964];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L7-11[U004965];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L116-117[U004990];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L430-431[U005088];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L432-435[U005089],RESOLVED,cellular-automaton,Executable list implementation of ordinary CA evolution,,not-serious-candidate,not-applicable
L0015,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L114-115[U004989];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L120-121[U004992],RESOLVED,ca-boundary-policy,Finite-array boundary handling is a CA policy,,not-serious-candidate,not-applicable
L0016,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L132-133[U004997];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L134-138[U004998];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L139-140[U004999];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L141-145[U005000];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L146-147[U005001];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L148-151[U005002];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L152-153[U005003];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L154-157[U005004];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L158-159[U005005];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L160-168[U005006];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L169-170[U005007],RESOLVED,cellular-automaton,General neighborhoods and colors retain CA mechanics,,not-serious-candidate,not-applicable
L0017,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L175-176[U005010];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L181-197[U005013];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L212-213[U005017],RESOLVED,ca-executor,Direct call to the generic CA executor,,not-serious-candidate,not-applicable
L0018,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L171-172[U005008];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L175-176[U005010];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L181-197[U005013];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L212-213[U005017],RESOLVED,ca-executor,Direct call to the generic CA executor,,not-serious-candidate,not-applicable
L0019,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L175-176[U005010];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L181-197[U005013];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L212-213[U005017],RESOLVED,ca-executor,Duplicate generic CA execution surface,,not-serious-candidate,not-applicable
L0020,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L171-172[U005008];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L175-176[U005010];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L181-197[U005013];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L212-213[U005017],RESOLVED,ca-executor,Reference to totalistic and higher-dimensional CA,,not-serious-candidate,not-applicable
L0021,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L175-176[U005010];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L181-197[U005013];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L212-213[U005017],RESOLVED,ca-executor,Duplicate generic CA execution surface,,not-serious-candidate,not-applicable
L0022,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L175-176[U005010];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L181-197[U005013];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L214-215[U005018];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L216-217[U005019],RESOLVED,ca-executor,Generic CA execution with alternate result form,,not-serious-candidate,not-applicable
L0023,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L175-176[U005010];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L202-211[U005016];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L212-213[U005017],RESOLVED,ca-executor,Generic CA execution with explicit rule form,,not-serious-candidate,not-applicable
L0024,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L175-176[U005010];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L202-211[U005016];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L212-213[U005017],RESOLVED,ca-executor,Duplicate generic CA execution surface,,not-serious-candidate,not-applicable
L0025,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L175-176[U005010];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L202-211[U005016];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L212-213[U005017],RESOLVED,ca-executor,Duplicate generic CA execution surface,,not-serious-candidate,not-applicable
L0026,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L175-176[U005010];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L202-211[U005016];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L212-213[U005017],RESOLVED,ca-executor,Duplicate generic CA execution surface,,not-serious-candidate,not-applicable
L0027,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L220-232[U005021],RESOLVED,ca-seed-form,Explicit cyclic and background initial conditions,,not-serious-candidate,not-applicable
L0028,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L220-232[U005021];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L233-234[U005022],RESOLVED,ca-seed-form,Initial-condition representation variant,,not-serious-candidate,not-applicable
L0029,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L220-232[U005021];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L233-234[U005022],RESOLVED,ca-seed-form,Initial-condition representation variant,,not-serious-candidate,not-applicable
L0030,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L220-232[U005021];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L233-234[U005022],RESOLVED,ca-seed-form,Initial-condition representation variant,,not-serious-candidate,not-applicable
L0031,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L237-245[U005024];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L246-247[U005025];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L334-335[U005054];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L348-349[U005058],RESOLVED,ca-output-selection,Selects steps from an already generated history,,not-serious-candidate,not-applicable
L0032,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L248-249[U005026];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L252-264[U005028];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L269-270[U005031];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L271-272[U005032];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L273-274[U005033];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L275-276[U005034];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L277-278[U005035];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L279-280[U005036];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L316-317[U005048];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L341-342[U005056];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L348-349[U005058];CHAPTERS/05-Two-Dimensions-and-Beyond.md:L51-52[U000972];CHAPTERS/05-Two-Dimensions-and-Beyond.md:L63-64[U000978];CHAPTERS/05-Two-Dimensions-and-Beyond.md:L61-62[U000977];BACK-MATTER/NOTES/05-Two-Dimensions-and-Beyond-Notes.md:L125-126[U006112];BACK-MATTER/NOTES/05-Two-Dimensions-and-Beyond-Notes.md:L127-128[U006113],RESOLVED,ca-seed-offset,Seed offset and dimensional layout policy,,not-serious-candidate,not-applicable
L0033,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L299-300[U005043];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L301-306[U005044],RESOLVED,ca-periodic-seed,Cyclic continuation of a finite seed,,not-serious-candidate,not-applicable
L0034,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L307-308[U005045];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L309-313[U005046];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L316-317[U005048],RESOLVED,ca-background-seed,Finite perturbation over a periodic background,,not-serious-candidate,not-applicable
L0035,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L325-326[U005051];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L327-331[U005052],RESOLVED,ca-seed-offset,Places initial blocks at specified offsets,,not-serious-candidate,not-applicable
L0036,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L357-358[U005061];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L359-363[U005062],RESOLVED,general-ca-preset,Specific three-color nearest-neighbor rule,,not-serious-candidate,not-applicable
L0037,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L366-367[U005064];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L368-372[U005065],RESOLVED,totalistic-ca-preset,Specific totalistic CA rule,,not-serious-candidate,not-applicable
