owner,type,kind,variant,tag,version,exact_fields,wire_value,local_validator,equality_law
ca.loci,LocusKind,enum-member,COORDINATE,ca.loci.locus-kind,1,value,coordinate,Enum.__call__,enum-member
ca.loci,LocusKind,enum-member,NAMED,ca.loci.locus-kind,1,value,named,Enum.__call__,enum-member
ca.loci,LocusKind,enum-member,OCCURRENCE,ca.loci.locus-kind,1,value,occurrence,Enum.__call__,enum-member
ca.loci,LocusKind,enum-member,PATH,ca.loci.locus-kind,1,value,path,Enum.__call__,enum-member
ca.loci,LocusKind,enum-member,SPAN,ca.loci.locus-kind,1,value,span,Enum.__call__,enum-member
ca.loci,LocusKind,enum-member,PORT,ca.loci.locus-kind,1,value,port,Enum.__call__,enum-member
ca.loci,LocusKind,enum-member,INTERFACE,ca.loci.locus-kind,1,value,interface,Enum.__call__,enum-member
ca.loci,LocusKind,enum-member,PRODUCT,ca.loci.locus-kind,1,value,product,Enum.__call__,enum-member
ca.loci,LocusKind,enum-member,GRAPH_ELEMENT,ca.loci.locus-kind,1,value,graph-element,Enum.__call__,enum-member
ca.loci,LocusKind,enum-member,FIELD_POINT,ca.loci.locus-kind,1,value,field-point,Enum.__call__,enum-member
ca.loci,LocusKind,enum-member,CONTINUOUS,ca.loci.locus-kind,1,value,continuous,Enum.__call__,enum-member
ca.loci,LocusKind,enum-member,INTENSIONAL,ca.loci.locus-kind,1,value,intensional,Enum.__call__,enum-member
ca.loci,LocusKind,enum-member,FRESH,ca.loci.locus-kind,1,value,fresh,Enum.__call__,enum-member
ca.loci,Locus,frozen-dataclass,record,ca.loci.locus,1,kind|scope|path|version,,Locus.__post_init__,loci.canonical_identity
ca.loci,FreshReference,frozen-dataclass,record,ca.loci.fresh-reference,1,namespace|local_key|parent|interface|version,,FreshReference.__post_init__,loci.canonical_identity
ca.loci,SelectorPrimitive,enum-member,LITERAL,ca.loci.selector-primitive,1,value,selector.literal,Enum.__call__,enum-member
ca.loci,SelectorPrimitive,enum-member,EQUAL,ca.loci.selector-primitive,1,value,selector.equal,Enum.__call__,enum-member
ca.loci,SelectorPrimitive,enum-member,TAGGED,ca.loci.selector-primitive,1,value,selector.tagged,Enum.__call__,enum-member
ca.loci,SelectorPrimitive,enum-member,RELATIVE,ca.loci.selector-primitive,1,value,selector.relative,Enum.__call__,enum-member
ca.loci,SelectorPrimitive,enum-member,METRIC,ca.loci.selector-primitive,1,value,selector.metric,Enum.__call__,enum-member
ca.loci,SelectorPrimitive,enum-member,PATH,ca.loci.selector-primitive,1,value,selector.path,Enum.__call__,enum-member
ca.loci,SelectorPrimitive,enum-member,INCIDENCE,ca.loci.selector-primitive,1,value,selector.incidence,Enum.__call__,enum-member
ca.loci,SelectorPrimitive,enum-member,REACHABLE,ca.loci.selector-primitive,1,value,selector.reachable,Enum.__call__,enum-member
ca.loci,SelectorPrimitive,enum-member,FIELD_RESTRICTION,ca.loci.selector-primitive,1,value,selector.field-restriction,Enum.__call__,enum-member
ca.loci,SelectorPrimitive,enum-member,DIFFERENTIAL_GERM,ca.loci.selector-primitive,1,value,selector.differential-germ,Enum.__call__,enum-member
ca.loci,SelectorPrimitive,enum-member,HISTORY,ca.loci.selector-primitive,1,value,selector.history,Enum.__call__,enum-member
ca.loci,SelectorPrimitive,enum-member,MEMBERSHIP,ca.loci.selector-primitive,1,value,selector.membership,Enum.__call__,enum-member
ca.loci,SelectorPrimitive,enum-member,AND,ca.loci.selector-primitive,1,value,selector.and,Enum.__call__,enum-member
ca.loci,SelectorPrimitive,enum-member,OR,ca.loci.selector-primitive,1,value,selector.or,Enum.__call__,enum-member
ca.loci,SelectorPrimitive,enum-member,NOT,ca.loci.selector-primitive,1,value,selector.not,Enum.__call__,enum-member
ca.loci,SelectorExpr,frozen-dataclass,record,ca.loci.selector-expr,1,primitive|arguments|children|version,,SelectorExpr.__post_init__,structural-fields
ca.loci,RegionKind,enum-member,LITERAL,ca.loci.region-kind,1,value,literal,Enum.__call__,enum-member
ca.loci,RegionKind,enum-member,ALL_SUPPORT,ca.loci.region-kind,1,value,all-support,Enum.__call__,enum-member
ca.loci,RegionKind,enum-member,CURRENT_SUPPORT,ca.loci.region-kind,1,value,current-support,Enum.__call__,enum-member
ca.loci,RegionKind,enum-member,RELATIVE,ca.loci.region-kind,1,value,relative,Enum.__call__,enum-member
ca.loci,RegionKind,enum-member,PRODUCT,ca.loci.region-kind,1,value,product,Enum.__call__,enum-member
ca.loci,RegionKind,enum-member,UNION,ca.loci.region-kind,1,value,union,Enum.__call__,enum-member
ca.loci,RegionKind,enum-member,INTERSECTION,ca.loci.region-kind,1,value,intersection,Enum.__call__,enum-member
ca.loci,RegionKind,enum-member,DIFFERENCE,ca.loci.region-kind,1,value,difference,Enum.__call__,enum-member
ca.loci,RegionKind,enum-member,SPAN,ca.loci.region-kind,1,value,span,Enum.__call__,enum-member
ca.loci,RegionKind,enum-member,PATH,ca.loci.region-kind,1,value,path,Enum.__call__,enum-member
ca.loci,RegionKind,enum-member,MATCHED_INTERFACE,ca.loci.region-kind,1,value,matched-interface,Enum.__call__,enum-member
ca.loci,RegionKind,enum-member,DYNAMIC_ADDRESS,ca.loci.region-kind,1,value,dynamic-address,Enum.__call__,enum-member
ca.loci,RegionKind,enum-member,FRESH_CHILDREN,ca.loci.region-kind,1,value,fresh-children,Enum.__call__,enum-member
ca.loci,RegionKind,enum-member,FRESH_EDGES,ca.loci.region-kind,1,value,fresh-edges,Enum.__call__,enum-member
ca.loci,RegionKind,enum-member,CONTINUOUS,ca.loci.region-kind,1,value,continuous,Enum.__call__,enum-member
ca.loci,RegionKind,enum-member,DIFFERENTIAL,ca.loci.region-kind,1,value,differential,Enum.__call__,enum-member
ca.loci,RegionKind,enum-member,INTENSIONAL,ca.loci.region-kind,1,value,intensional,Enum.__call__,enum-member
ca.loci,FreshTemplateKind,enum-member,CHILDREN,ca.loci.fresh-template-kind,1,value,children,Enum.__call__,enum-member
ca.loci,FreshTemplateKind,enum-member,EDGES,ca.loci.fresh-template-kind,1,value,edges,Enum.__call__,enum-member
ca.loci,FreshTemplate,frozen-dataclass,record,ca.loci.fresh-template,1,kind|namespace|local_keys|parent_region|interface_regions|version,,FreshTemplate.__post_init__,structural-fields
